,Cumulative number of case(s),Number of deaths,Number recovered
1324,1,0,1
1325,3,0,3
1326,1,0,1
1327,8,2,5
1328,4,0,4
1329,66,0,33
1330,63,5,58
1331,6,0,6
1332,2,0,2
1333,140,23,109
1334,5271,300,2445
1335,1722,258,1247
1336,2,0,0
1337,483,60,74
1338,1,0,1
1339,1,0,1
1340,7,0,6
1341,9,0,9
1342,3,0,3
1343,2,0,2
1344,9,0,9
1345,1,0,1
1346,8,2,5
1347,9,0,8
1348,1,0,1
1349,12,2,10
1350,1,0,1
1351,3,0,2
1352,1,0,1
1353,206,29,162
1354,1,1,0
1355,1,0,1
1356,3,0,3
1357,1,0,1
1358,8,2,5
1359,4,0,4
1360,65,0,33
1361,63,5,58
1362,2,0,2
1363,140,23,109
1364,5285,303,2544
1365,1724,260,1255
1366,2,0,0
1367,538,60,82
1368,1,0,1
1369,1,0,1
1370,7,0,6
1371,9,0,9
1372,3,0,3
1373,2,0,2
1374,9,0,9
1375,1,0,1
1376,8,2,5
1377,9,0,8
1378,1,0,1
1379,12,2,10
1380,1,0,1
1381,3,0,2
1382,1,0,1
1383,206,31,163
1384,1,1,0
1385,1,0,1
1386,3,0,3
1387,1,0,1
1388,8,2,5
1389,4,0,4
1390,65,0,33
1391,63,5,58
1392,2,0,2
1393,140,23,109
1394,5309,308,2675
1395,1724,262,1266
1396,2,0,0
1397,538,60,82
1398,1,0,1
1399,1,0,1
1400,7,0,6
1401,9,0,9
1402,3,0,3
1403,2,0,2
1404,9,0,9
1405,1,0,1
1406,8,2,5
1407,9,0,8
1408,1,0,1
1409,12,2,10
1410,1,0,1
1411,3,0,2
1412,1,0,1
1413,206,31,163
1414,1,1,0
1415,1,0,1
1416,3,0,3
1417,1,0,1
1418,8,2,5
1419,4,0,4
1420,65,0,33
1421,63,5,58
1422,2,0,2
1423,148,26,110
1424,5316,317,2829
1425,1726,267,1276
1426,2,0,0
1427,585,72,112
1428,1,0,1
1429,1,0,1
1430,7,0,6
1431,9,0,9
1432,3,0,3
1433,2,0,2
1434,9,0,9
1435,1,0,1
1436,5,2,3
1437,9,0,8
1438,1,0,1
1439,12,2,10
1440,1,0,1
1441,3,0,2
1442,1,0,1
1443,206,31,163
1444,1,1,0
1445,1,0,1
1446,3,0,3
1447,1,0,1
1448,8,2,6
1449,4,0,4
1450,65,0,33
1451,63,5,58
1452,2,0,2
1453,148,26,111
1454,5322,321,2944
1455,1728,269,1285
1456,2,0,0
1457,596,76,112
1458,1,0,1
1459,1,0,1
1460,7,0,6
1461,9,0,9
1462,3,0,3
1463,2,0,2
1464,9,0,9
1465,1,0,1
1466,5,2,3
1467,9,0,9
1468,1,0,1
1469,12,2,10
1470,1,0,1
1471,3,0,2
1472,1,0,1
1473,206,31,163
1474,1,1,0
1475,1,0,1
1476,3,0,3
1477,1,0,1
1478,8,2,6
1479,4,0,4
1480,65,0,32
1481,63,5,58
1482,6,0,6
1483,2,0,2
1484,149,26,111
1485,5323,325,3036
1486,1730,270,1295
1487,2,0,0
1488,610,81,112
1489,1,0,1
1490,1,0,1
1491,7,0,6
1492,9,0,9
1493,3,0,3
1494,2,0,2
1495,9,0,9
1496,1,0,1
1497,5,2,3
1498,9,0,9
1499,1,0,1
1500,12,2,10
1501,1,0,1
1502,3,0,2
1503,1,0,1
1504,206,31,165
1505,1,1,0
1506,1,0,1
1507,3,0,3
1508,1,0,1
1509,8,2,6
1510,4,0,4
1511,66,0,32
1512,63,5,58
1513,6,0,6
1514,2,0,2
1515,151,26,112
1516,5325,327,3121
1517,1732,273,1302
1518,1,0,0
1519,660,81,122
1520,1,0,1
1521,1,0,1
1522,7,0,6
1523,9,0,9
1524,3,0,3
1525,2,0,2
1526,9,0,9
1527,1,0,1
1528,5,2,3
1529,9,0,9
1530,1,0,1
1531,12,2,10
1532,1,0,1
1533,3,0,2
1534,1,0,1
1535,206,31,165
1536,1,1,0
1537,1,0,1
1538,3,0,3
1539,1,0,1
1540,8,2,6
1541,4,0,4
1542,66,0,32
1543,63,5,58
1544,2,0,2
1545,159,28,112
1546,5328,328,3250
1547,1736,274,1304
1548,1,0,0
1549,667,81,125
1550,1,0,1
1551,1,0,1
1552,7,0,6
1553,9,0,9
1554,3,0,3
1555,2,0,2
1556,9,0,9
1557,1,0,1
1558,5,2,3
1559,9,0,9
1560,1,0,1
1561,12,2,10
1562,1,0,1
1563,3,0,3
1564,1,0,1
1565,206,31,165
1566,1,1,0
1567,1,0,1
1568,3,0,3
1569,1,0,1
1570,8,2,6
1571,4,0,4
1572,66,0,32
1573,63,5,58
1574,2,0,2
1575,188,30,116
1576,5328,332,3371
1577,1739,278,1310
1578,1,0,0
1579,676,81,129
1580,1,0,1
1581,1,0,1
1582,7,0,6
1583,10,0,9
1584,3,0,3
1585,2,0,2
1586,9,0,9
1587,1,0,1
1588,5,2,3
1589,9,0,9
1590,1,0,1
1591,12,2,10
1592,1,0,1
1593,3,0,3
1594,1,0,1
1595,1,0,0
1596,206,31,165
1597,1,1,0
1598,1,0,1
1599,3,0,3
1600,1,0,1
1601,8,2,6
1602,4,0,4
1603,66,0,32
1604,63,5,58
1605,2,0,2
1606,198,30,116
1607,5328,334,3495
1608,1746,282,1319
1609,1,0,1
1610,684,81,134
1611,1,0,1
1612,1,0,1
1613,7,0,6
1614,10,0,9
1615,3,0,3
1616,2,0,2
1617,9,0,9
1618,1,0,1
1619,5,2,3
1620,9,0,9
1621,1,0,1
1622,12,2,10
1623,1,0,1
1624,3,0,3
1625,1,0,1
1626,1,0,0
1627,206,31,165
1628,1,1,0
1629,1,0,1
1630,3,0,3
1631,1,0,1
1632,8,2,6
1633,4,0,4
1634,66,0,32
1635,63,5,58
1636,2,0,2
1637,213,31,116
1638,5329,334,3558
1639,1747,283,1326
1640,1,0,1
1641,679,81,136
1642,1,0,1
1643,1,0,1
1644,7,0,6
1645,10,0,9
1646,3,0,3
1647,2,0,2
1648,9,0,9
1649,1,0,1
1650,5,2,3
1651,9,0,9
1652,1,0,1
1653,12,2,10
1654,1,0,1
1655,3,0,3
1656,1,0,1
1657,1,0,0
1658,206,31,165
1659,1,1,0
1660,1,0,1
1661,3,0,3
1662,1,0,1
1663,8,2,6
1664,4,0,4
1665,68,0,33
1666,63,5,58
1667,2,0,2
1668,216,31,121
1669,5329,334,3674
1670,1748,283,1339
1671,1,0,1
1672,678,81,272
1673,1,0,1
1674,1,0,1
1675,7,0,6
1676,10,0,9
1677,3,0,3
1678,2,0,2
1679,9,0,9
1680,1,0,1
1681,5,2,3
1682,9,0,9
1683,1,0,1
1684,12,2,10
1685,1,0,1
1686,3,0,3
1687,1,0,1
1688,1,0,0
1689,206,31,165
1690,1,1,0
1691,1,0,1
1692,3,0,3
1693,1,0,1
1694,8,2,6
1695,4,0,4
1696,69,0,34
1697,63,5,58
1698,2,0,2
1699,218,31,120
1700,5329,336,3770
1701,1748,284,1343
1702,1,0,1
1703,677,81,257
1704,1,0,1
1705,1,0,1
1706,7,0,6
1707,10,0,9
1708,3,0,3
1709,2,0,2
1710,9,0,9
1711,1,0,1
1712,5,2,3
1713,9,0,9
1714,1,0,1
1715,12,2,10
1716,1,0,1
1717,3,0,3
1718,1,0,1
1719,1,0,0
1720,206,31,165
1721,1,1,0
1722,1,0,1
1723,3,0,3
1724,1,0,1
1725,8,2,6
1726,4,0,4
1727,69,0,34
1728,63,5,58
1729,2,0,2
1730,219,31,120
1731,5329,338,3869
1732,1750,286,1350
1733,1,0,1
1734,676,81,257
1735,1,0,1
1736,1,0,1
1737,7,0,6
1738,10,0,9
1739,3,0,3
1740,2,0,2
1741,9,0,9
1742,1,0,1
1743,5,2,3
1744,9,0,9
1745,1,0,1
1746,12,2,10
1747,1,0,1
1748,3,0,3
1749,1,0,1
1750,1,0,0
1751,206,31,165
1752,1,1,0
1753,1,0,1
1754,3,0,3
1755,1,0,1
1756,8,2,6
1757,4,0,4
1758,68,0,35
1759,63,5,58
1760,2,0,2
1761,229,32,128
1762,5328,340,4186
1763,1753,288,1365
1764,1,0,1
1765,680,81,257
1766,1,0,1
1767,1,0,1
1768,7,0,6
1769,10,0,9
1770,3,0,3
1771,2,0,2
1772,9,0,9
1773,1,0,1
1774,5,2,3
1775,9,0,9
1776,1,0,1
1777,12,2,10
1778,1,0,1
1779,3,0,3
1780,1,0,1
1781,1,0,0
1782,206,31,168
1783,1,1,0
1784,1,0,1
1785,3,0,3
1786,1,0,1
1787,9,2,6
1788,4,0,4
1789,68,0,35
1790,63,5,58
1791,3,0,2
1792,229,32,131
1793,5328,343,4294
1794,1754,290,1368
1795,1,0,1
1796,686,81,319
1797,1,0,1
1798,1,0,1
1799,7,0,6
1800,10,0,9
1801,3,0,3
1802,2,0,2
1803,9,0,9
1804,1,0,1
1805,5,2,3
1806,9,0,9
1807,1,0,1
1808,12,2,10
1809,1,0,1
1810,3,0,3
1811,1,0,1
1812,1,0,0
1813,206,31,168
1814,1,1,0
1815,1,0,1
1816,3,0,3
1817,1,0,1
1818,9,2,6
1819,4,0,4
1820,69,0,36
1821,63,5,58
1822,3,0,2
1823,230,32,134
1824,5329,343,4390
1825,1754,290,1368
1826,1,0,1
1827,687,81,344
1828,1,0,1
1829,1,0,1
1830,7,0,6
1831,10,0,9
1832,3,0,3
1833,2,0,2
1834,9,0,9
1835,1,0,1
1836,5,2,3
1837,9,0,9
1838,1,0,1
1839,12,2,10
1840,1,0,1
1841,3,0,3
1842,1,0,1
1843,1,0,0
1844,206,31,168
1845,1,1,0
1846,1,0,1
1847,3,0,3
1848,1,0,1
1849,9,2,6
1850,4,0,4
1851,71,0,36
1852,63,5,58
1853,3,0,2
1854,238,32,141
1855,5328,343,4457
1856,1755,291,1377
1857,1,0,1
1858,688,81,347
1859,1,0,1
1860,1,0,1
1861,7,0,6
1862,10,0,9
1863,3,0,3
1864,2,0,2
1865,9,0,9
1866,1,0,1
1867,5,2,3
1868,9,0,9
1869,1,0,1
1870,14,2,12
1871,1,0,1
1872,3,0,3
1873,1,0,1
1874,1,0,0
1875,206,31,169
1876,1,1,0
1877,1,0,1
1878,3,0,3
1879,1,0,1
1880,9,2,6
1881,4,0,4
1882,70,0,36
1883,63,5,58
1884,3,0,2
1885,242,32,150
1886,5327,343,4530
1887,1755,293,1380
1888,1,0,1
1889,693,81,385
1890,1,0,1
1891,1,0,1
1892,7,0,6
1893,10,0,9
1894,3,0,3
1895,2,0,2
1896,9,0,9
1897,1,0,1
1898,5,2,3
1899,9,0,9
1900,1,0,1
1901,14,2,12
1902,1,0,1
1903,3,0,3
1904,1,0,1
1905,1,0,0
1906,206,31,169
1907,1,1,0
1908,1,0,1
1909,3,0,3
1910,1,0,1
1911,9,2,6
1912,4,0,4
1913,71,0,36
1914,63,5,58
1915,3,0,2
1916,243,32,156
1917,5326,346,4656
1918,1755,295,1386
1919,1,0,1
1920,698,83,443
1921,1,0,1
1922,1,0,1
1923,7,0,6
1924,10,0,9
1925,3,0,3
1926,2,0,2
1927,9,0,9
1928,1,0,1
1929,5,2,3
1930,9,0,9
1931,1,0,1
1932,14,2,12
1933,1,0,1
1934,3,0,3
1935,1,0,1
1936,1,0,0
1937,206,31,169
1938,1,1,0
1939,1,0,1
1940,3,0,3
1941,1,0,1
1942,9,2,6
1943,4,0,4
1944,72,0,36
1945,63,5,58
1946,3,0,2
1947,247,32,171
1948,5326,346,4725
1949,1755,295,1387
1950,1,0,1
1951,697,83,460
1952,1,0,1
1953,1,0,1
1954,7,0,6
1955,10,0,9
1956,3,0,3
1957,2,0,2
1958,9,0,9
1959,1,0,1
1960,5,2,3
1961,9,0,9
1962,1,0,1
1963,14,2,12
1964,1,0,1
1965,3,0,3
1966,1,0,1
1967,1,0,0
1968,206,31,169
1969,1,1,0
1970,1,0,1
1971,3,0,3
1972,1,0,1
1973,9,2,6
1974,4,0,4
1975,73,0,36
1976,63,5,58
1977,3,0,2
1978,246,33,176
1979,5326,347,4762
1980,1755,295,1393
1981,1,0,1
1982,697,83,469
1983,1,0,1
1984,1,0,1
1985,7,0,6
1986,10,0,9
1987,3,0,3
1988,2,0,2
1989,9,0,9
1990,1,0,1
1991,5,2,3
1992,9,0,9
1993,1,0,1
1994,14,2,12
1995,1,0,1
1996,3,0,3
1997,1,0,1
1998,1,0,0
1999,206,31,169
2000,1,1,0
2001,1,0,1
2002,3,0,3
2003,1,0,1
2004,9,2,6
2005,4,0,4
2006,75,0,36
2007,63,5,58
2008,3,0,2
2009,245,34,175
2010,5326,347,4786
2011,1755,296,1396
2012,1,0,1
2013,695,84,472
2014,1,0,1
2015,1,0,1
2016,7,0,6
2017,10,0,9
2018,3,0,3
2019,2,0,2
2020,9,0,9
2021,1,0,1
2022,5,2,3
2023,9,0,9
2024,1,0,1
2025,14,2,12
2026,1,0,1
2027,3,0,3
2028,1,0,1
2029,1,0,0
2030,206,31,170
2031,1,1,0
2032,1,0,1
2033,3,0,3
2034,1,0,1
2035,9,2,6
2036,4,0,4
2037,75,0,36
2038,63,5,58
2039,3,0,2
2040,245,34,180
2041,5326,347,4806
2042,1755,296,1403
2043,1,0,1
2044,695,84,480
2045,1,0,1
2046,1,0,1
2047,7,0,6
2048,10,0,9
2049,3,0,3
2050,2,0,2
2051,9,0,9
2052,1,0,1
2053,5,2,3
2054,9,0,9
2055,1,0,1
2056,14,2,12
2057,1,0,1
2058,3,0,3
2059,1,0,1
2060,1,0,0
2061,206,31,170
2062,1,1,0
2063,1,0,1
2064,3,0,3
2065,1,0,1
2066,9,2,6
2067,4,0,4
2068,74,0,36
2069,63,5,58
2070,3,0,2
2071,246,35,182
2072,5326,347,4895
2073,1755,296,1411
2074,1,0,1
2075,692,84,486
2076,1,0,1
2077,1,0,1
2078,7,0,6
2079,10,0,9
2080,3,0,3
2081,2,0,2
2082,9,0,9
2083,1,0,1
2084,5,2,3
2085,9,0,9
2086,1,0,1
2087,14,2,12
2088,1,0,1
2089,3,0,3
2090,1,0,1
2091,1,0,0
2092,206,31,170
2093,1,1,0
2094,1,0,1
2095,3,0,3
2096,1,0,1
2097,9,2,7
2098,4,0,4
2099,74,0,36
2100,63,5,58
2101,3,0,2
2102,249,37,188
2103,5326,347,4901
2104,1755,296,1417
2105,1,0,1
2106,687,84,492
2107,1,0,1
2108,1,0,1
2109,7,0,6
2110,10,0,9
2111,3,0,3
2112,2,0,2
2113,9,0,9
2114,1,0,1
2115,5,2,3
2116,9,0,9
2117,1,0,1
2118,14,2,12
2119,1,0,1
2120,3,0,3
2121,1,0,1
2122,1,0,0
2123,206,31,170
2124,1,1,0
2125,1,0,1
2126,3,0,3
2127,1,0,1
2128,9,2,7
2129,4,0,4
2130,75,0,36
2131,63,5,58
2132,3,0,2
2133,250,37,188
2134,5327,348,4916
2135,1755,296,1419
2136,1,0,1
2137,686,84,492
2138,1,0,1
2139,1,0,1
2140,7,0,6
2141,10,0,9
2142,3,0,3
2143,2,0,2
2144,9,0,9
2145,1,0,0
2146,1,0,1
2147,5,2,3
2148,9,0,9
2149,1,0,1
2150,14,2,12
2151,1,0,1
2152,3,0,3
2153,1,0,1
2154,1,0,0
2155,206,31,170
2156,1,1,0
2157,1,0,1
2158,3,0,3
2159,1,0,1
2160,9,2,7
2161,4,0,4
2162,75,0,36
2163,63,5,58
2164,3,0,2
2165,251,37,190
2166,5327,348,4921
2167,1755,296,1419
2168,1,0,1
2169,682,84,491
2170,1,0,1
2171,1,0,1
2172,7,0,6
2173,10,0,9
2174,3,0,3
2175,2,0,2
2176,9,0,9
2177,1,0,0
2178,1,0,1
2179,5,2,3
2180,9,0,9
2181,1,0,1
2182,14,2,12
2183,1,0,1
2184,3,0,3
2185,1,0,1
2186,1,0,0
2187,206,32,170
2188,1,1,0
2189,1,0,1
2190,3,0,3
2191,1,0,1
2192,9,2,7
2193,4,0,4
2194,74,0,36
2195,63,5,58
2196,3,0,2
2197,251,37,191
2198,5327,348,4921
2199,1755,297,1422
2200,1,0,1
2201,681,84,492
2202,1,0,1
2203,1,0,1
2204,7,0,6
2205,10,0,9
2206,3,0,3
2207,2,0,2
2208,5,0,5
2209,1,0,1
2210,5,2,3
2211,9,0,9
2212,1,0,1
2213,14,2,12
2214,1,0,1
2215,3,0,3
2216,1,0,1
2217,1,0,0
2218,206,32,171
2219,1,1,0
2220,1,0,1
2221,3,0,3
2222,1,0,1
2223,9,2,7
2224,4,0,4
2225,74,0,64
2226,63,5,58
2227,5,0,5
2228,3,0,2
2229,252,37,192
2230,5327,348,4927
2231,1755,298,1429
2232,1,0,1
2233,678,84,495
2234,1,0,1
2235,1,0,1
2236,7,0,6
2237,10,0,9
2238,3,0,3
2239,2,0,2
2240,5,0,5
2241,1,0,1
2242,5,2,3
2243,9,0,9
2244,1,0,1
2245,14,2,12
2246,1,0,1
2247,3,0,3
2248,1,0,1
2249,1,0,0
2250,206,32,171
2251,1,1,0
2252,1,0,1
2253,3,0,3
2254,1,0,1
2255,9,2,7
2256,4,0,4
2257,73,0,63
2258,63,5,58
2259,1,0,1
2260,252,38,192
2261,5327,348,4930
2262,1755,298,1429
2263,1,0,1
2264,678,84,498
2265,1,0,1
2266,1,0,1
2267,7,0,6
2268,10,0,9
2269,3,0,3
2270,2,0,2
2271,5,0,5
2272,1,0,1
2273,5,2,3
2274,9,0,9
2275,1,0,1
2276,14,2,12
2277,1,0,1
2278,3,0,3
2279,1,0,1
2280,1,0,0
2281,206,32,171
2282,1,1,0
2283,1,0,1
2284,3,0,3
2285,1,0,1
2286,9,2,7
2287,4,0,4
2288,73,0,63
2289,63,5,58
2290,1,0,1
2291,252,38,192
2292,5327,348,4933
2293,1755,298,1429
2294,1,0,1
2295,676,84,498
2296,1,0,1
2297,1,0,1
2298,7,0,6
2299,10,0,9
2300,3,0,3
2301,2,0,2
2302,4,0,4
2303,1,0,1
2304,5,2,3
2305,9,0,9
2306,1,0,1
2307,14,2,12
2308,1,0,1
2309,3,0,3
2310,1,0,1
2311,1,0,0
2312,206,32,171
2313,1,1,0
2314,1,0,1
2315,3,0,3
2316,1,0,1
2317,9,2,7
2318,4,0,4
2319,73,0,63
2320,63,5,58
2321,1,0,1
2322,251,38,193
2323,5327,348,4933
2324,1755,298,1429
2325,1,0,1
2326,674,84,498
2327,1,0,1
2328,1,0,1
2329,7,0,6
2330,10,0,9
2331,3,0,3
2332,2,0,2
2333,4,0,4
2334,1,0,1
2335,5,2,3
2336,9,0,9
2337,1,0,1
2338,14,2,12
2339,1,0,1
2340,3,0,3
2341,1,0,1
2342,1,0,0
2343,206,32,171
2344,1,1,0
2345,1,0,1
2346,3,0,3
2347,1,0,1
2348,9,2,7
2349,4,0,4
2350,73,0,65
2351,63,5,58
2352,1,0,1
2353,251,38,193
2354,5327,348,4934
2355,1755,298,1430
2356,1,0,1
2357,674,84,500
2358,1,0,1
2359,1,0,1
2360,7,0,6
2361,10,0,9
2362,3,0,3
2363,2,0,2
2364,4,0,4
2365,1,0,1
2366,5,2,3
2367,9,0,9
2368,1,0,1
2369,14,2,12
2370,1,0,1
2371,3,0,3
2372,1,0,1
2373,1,0,0
2374,206,32,171
2375,1,1,0
2376,1,0,1
2377,3,0,3
2378,1,0,1
2379,9,2,7
2380,4,0,4
2381,73,0,65
2382,63,5,58
2383,1,0,1
2384,251,38,193
2385,5327,348,4934
2386,1755,298,1430
2387,1,0,1
2388,674,84,500
2389,1,0,1
2390,1,0,1
2391,7,0,6
2392,10,0,9
2393,3,0,3
2394,2,0,2
2395,4,0,4
2396,1,0,1
2397,5,2,3
2398,9,0,9
2399,1,0,1
2400,14,2,12
2401,1,0,1
2402,3,0,3
2403,1,0,1
2404,1,0,0
2405,206,32,171
2406,1,1,0
2407,1,0,1
2408,3,0,3
2409,1,0,1
2410,9,2,7
2411,4,0,4
2412,73,0,65
2413,63,5,58
2414,1,0,1
2415,250,38,194
2416,5327,348,4934
2417,1755,298,1430
2418,1,0,1
2419,671,84,502
2420,1,0,1
2421,1,0,1
2422,7,0,6
2423,10,0,9
2424,3,0,3
2425,2,0,2
2426,4,0,4
2427,1,0,1
2428,5,2,3
2429,9,0,9
2430,1,0,1
2431,14,2,12
2432,1,0,1
2433,3,0,3
2434,1,0,1
2435,1,0,0
2436,206,32,171
2437,1,1,0
2438,1,0,1
2439,3,0,3
2440,1,0,1
2441,9,2,7
2442,4,0,4
2443,74,0,64
2444,63,5,58
2445,1,0,1
2446,249,38,193
2447,5327,348,4939
2448,1755,298,1431
2449,1,0,1
2450,671,84,504
2451,1,0,1
2452,1,0,1
2453,7,0,6
2454,10,0,9
2455,3,0,3
2456,2,0,2
2457,4,0,4
2458,1,0,1
2459,5,2,3
2460,9,0,9
2461,1,0,1
2462,14,2,12
2463,1,0,1
2464,3,0,3
2465,1,0,1
2466,1,0,0
2467,206,32,171
2468,1,1,0
2469,1,0,1
2470,3,0,3
2471,1,0,1
2472,9,2,7
2473,4,0,4
2474,75,0,67
2475,63,5,58
2476,1,0,1
2477,250,38,194
2478,5327,348,4941
2479,1755,298,1431
2480,1,0,1
2481,671,84,506
2482,1,0,1
2483,1,0,1
2484,7,0,6
2485,10,0,9
2486,3,0,3
2487,2,0,2
2488,4,0,4
2489,1,0,1
2490,5,2,3
2491,9,0,9
2492,1,0,1
2493,14,2,12
2494,1,0,1
2495,3,0,3
2496,1,0,1
2497,1,0,0
2498,206,32,172
2499,1,1,0
2500,1,0,1
2501,3,0,3
2502,1,0,1
2503,9,2,7
2504,4,0,4
2505,75,0,67
2506,63,5,58
2507,1,0,1
2508,250,38,194
2509,5327,348,4941
2510,1755,298,1433
2511,1,0,1
2512,671,84,507
2513,1,0,1
2514,1,0,1
2515,7,1,6
2516,10,0,9
2517,3,0,3
2518,2,0,2
2519,4,0,4
2520,1,0,1
2521,5,2,3
2522,9,0,9
2523,1,0,1
2524,14,2,12
2525,1,0,1
2526,3,0,3
2527,1,0,1
2528,1,0,0
2529,206,32,172
2530,1,1,0
2531,1,0,1
2532,3,0,3
2533,1,0,1
2534,9,2,7
2535,4,0,4
2536,75,0,67
2537,63,5,58
